521,521
258,258
412,412
277,277
998,998
580,580
702,702
282,282
940,940
936,936
938,938
186,186
936,936
248,248
375,375
616,616
227,227
354,354
479,479
786,786
45,45
136,136
455,455
373,373
590,590
154,154
559,559
866,866
501,501
605,605
320,320
748,748
61,61
175,175
22,22
166,166
768,768
485,485
653,653
847,847
400,400
140,140
819,819
893,893
111,111
80,80
31,31
744,744
684,684
807,807
138,138
34,34
519,519
315,315
626,626
290,290
594,594
987,987
971,971
425,425
164,164
538,538
205,205
752,752
649,649
86,86
408,408
809,809
791,791
790,790
867,867
648,648
893,893
100,100
244,244
340,340
640,640
550,550
219,219
366,366
791,791
196,196
703,703
276,276
811,811
265,265
919,919
415,415
331,331
308,308
349,349
822,822
175,175
175,175
786,786
408,408
593,593
407,407
511,511
337,337
225,225
251,251
921,921
131,131
291,291
342,342
766,766
405,405
487,487
239,239
518,518
276,276
26,26
432,432
316,316
455,455
381,381
139,139
319,319
710,710
275,275
199,199
320,320
944,944
644,644
621,621
901,901
360,360
357,357
919,919
494,494
287,287
714,714
176,176
228,228
69,69
881,881
887,887
545,545
37,37
685,685
44,44
179,179
22,22
435,435
569,569
262,262
15,15
726,726
189,189
964,964
583,583
514,514
42,42
324,324
381,381
86,86
868,868
651,651
647,647
947,947
386,386
147,147
858,858
62,62
575,575
226,226
854,854
318,318
933,933
326,326
577,577
571,571
391,391
876,876
256,256
146,146
549,549
502,502
286,286
185,185
35,35
451,451
296,296
824,824
333,333
714,714
869,869
779,779
143,143
285,285
186,186
556,556
422,422
547,547
419,419
152,152
563,563
816,816
37,37
830,830
785,785
654,654
328,328
268,268
700,700
709,709
339,339
141,141
189,189
455,455
118,118
981,981
195,195
407,407
636,636
998,998
733,733
96,96
982,982
377,377
485,485
316,316
495,495
456,456
614,614
964,964
271,271
121,121
5,5
51,51
118,118
674,674
38,38
346,346
377,377
425,425
90,90
453,453
192,192
266,266
433,433
30,30
764,764
521,521
857,857
298,298
826,826
432,432
374,374
926,926
88,88
769,769
587,587
905,905
674,674
138,138
881,881
16,16
653,653
785,785
416,416
75,75
587,587
839,839
2,2
210,210
667,667
199,199
350,350
59,59
401,401
505,505
836,836
909,909
15,15
944,944
902,902
491,491
694,694
946,946
418,418
356,356
535,535
189,189
881,881
482,482
630,630
705,705
102,102
80,80
3,3
307,307
112,112
310,310
212,212
998,998
388,388
14,14
316,316
491,491
140,140
407,407
564,564
490,490
315,315
77,77
583,583
920,920
182,182
574,574
85,85
868,868
858,858
326,326
106,106
578,578
876,876
626,626
558,558
511,511
979,979
948,948
466,466
123,123
611,611
897,897
579,579
715,715
238,238
706,706
192,192
433,433
464,464
304,304
901,901
271,271
135,135
608,608
733,733
697,697
40,40
912,912
525,525
361,361
577,577
910,910
707,707
191,191
746,746
187,187
662,662
56,56
153,153
733,733
650,650
116,116
278,278
381,381
886,886
897,897
103,103
886,886
731,731
121,121
374,374
737,737
100,100
333,333
158,158
694,694
171,171
396,396
89,89
465,465
141,141
3,3
654,654
912,912
323,323
462,462
162,162
664,664
141,141
126,126
580,580
26,26
639,639
36,36
228,228
652,652
979,979
500,500
476,476
522,522
10,10
602,602
935,935
375,375
424,424
861,861
